epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1722.12,1.63129,2.63053,0.90887,0.22979,0.32728,0.31198,0.20115,1.12056,1.80693,0.81899,0.000471522,0.000471522,0.000471522
2,3476.89,1.13148,0.80383,0.82004,0.98018,0.65185,0.65126,0.50687,0.935,0.58639,0.80029,0.000885297,0.000885297,0.000885297
3,5302.8,1.02803,0.58949,0.80967,0.98867,0.64752,0.68755,0.55378,0.92613,0.53635,0.7947,0.0012362,0.0012362,0.0012362
4,7587.89,0.92164,0.51591,0.80336,0.74266,0.72053,0.77339,0.65255,0.70867,0.45061,0.78078,0.00114606,0.00114606,0.00114606
5,9756.71,0.85272,0.47032,0.7957,0.73801,0.57111,0.6546,0.54575,0.70087,0.44681,0.78087,0.00105174,0.00105174,0.00105174
6,10146,0.74187,0.46894,0.78942,0.86334,0.21682,0.3977,0.33968,0.62716,0.40687,0.77065,0.00095743,0.00095743,0.00095743
7,10596.3,0.69082,0.41591,0.78575,0.88534,0.76888,0.83137,0.70767,0.6886,0.403,0.77214,0.000863116,0.000863116,0.000863116
8,10980.6,0.60521,0.38316,0.7818,0.81917,0.21574,0.38598,0.33878,0.57585,0.36038,0.76919,0.000768802,0.000768802,0.000768802
9,11361.6,0.59891,0.37037,0.78126,0.94477,0.21942,0.38088,0.34373,0.53265,0.35439,0.76832,0.000674488,0.000674488,0.000674488
10,11781,0.54831,0.34916,0.77936,0.94278,0.21182,0.38097,0.34513,0.52439,0.34105,0.76712,0.000580174,0.000580174,0.000580174
11,12142.7,0.54778,0.34338,0.77864,0.91815,0.20006,0.36659,0.33346,0.50916,0.33231,0.76714,0.00048586,0.00048586,0.00048586
12,12512.9,0.51695,0.33127,0.77779,0.97331,0.25616,0.40448,0.36923,0.47084,0.31565,0.76573,0.000391546,0.000391546,0.000391546
13,12870.8,0.50289,0.3261,0.77638,0.97044,0.27753,0.42856,0.39238,0.46007,0.30833,0.76511,0.000297232,0.000297232,0.000297232
14,13389.7,0.48167,0.31494,0.77547,0.98054,0.35991,0.49287,0.4544,0.43759,0.29755,0.76401,0.000202918,0.000202918,0.000202918
15,13778.6,0.46791,0.3074,0.7755,0.98627,0.63172,0.70966,0.65256,0.43362,0.29666,0.76415,0.000108604,0.000108604,0.000108604
